Product,Type,Features,Launch_Date,Source_Page
GO8,Vehicle Gateway,4G LTE connectivity,Pre-2019,106
GO9,Vehicle Gateway,"4G LTE GNSS (GPS+GLONASS) gyroscope enhanced accelerometer OTA updates",March 2019,106
GO9+,Vehicle Gateway,Full GO9 functionality plus on-board Wi-Fi hotspot,January 2021,106
GO Device,Connectivity,OBD-II port or J-Bus plug-in,2021,106
GO Device,Alert System,In-vehicle alerts for driver infractions,2021,106
GO Device,Diagnostics,Engine diagnostics,2021,106
GO Device,Recording,Trip memory and accident data recording,2021,106
GO Device,Expansion,Accessory expansion port,2021,106
GO Device,Driver Coaching,GO Talk spoken word driver coaching,2021,106
GO Device,Driver ID,Near-field communication (NFC) technology,2021,106
GO Device,Connectivity Options,Iridium satellite modem option for backup,2021,106
GO Device,Processing Capacity,Supports new vehicle makes and models including EVs,2021,106
GO Device,Data Processing,40 billion data points per day,2021,106
GO Device,Global Deployment,130+ countries,2021,106
Electric Vehicles,EV Support,100+ electric vehicle makes and models,2021,106
Electric Vehicles,Charging Events,3 million per year,2021,106
