Category,Data_Point,Value,Year,Source_Page
Company,Name,Rhino Fleet Tracking,2021,148
Company,Previous Name,Track What Matters,2007,148
Company,Founded,2007,2007,148
Company,Market Entry,2009,2009,148
Company,Address,"2024 East Hickory Hill Road, Suite 400, Argyle, TX 76226",2021,148
Company,Phone,(800) 293-0420,2021,148
Company,Website,www.rhinofleettracking.com,2021,148
Company,Contact,Mike Brown - CEO,2021,148
Company,Total Employees,65 approximately,2021,148
Ownership,Acquired By,Accel-KKR,2021,148
Ownership,Acquisition Date,May 2021,2021,148
Ownership,Acquirer Type,Tech-focused private equity,2021,148
Ownership,Acquirer AUM,$10 billion+,2021,148
Ownership,Also Acquired,GPS Insight and Insight Mobile Data,2021,148
Ownership,New Operating Name,GPS Insight,2021,148
Market,Units in Service,25000-30000 (at acquisition),2021,148
Market,Growth Rate 2018-2020,30-50% per year,2020,148
Market,Growth Trajectory,Continues to grow rapidly,2020,148
Target_Markets,Construction,Primary,2021,148
Target_Markets,Service Fleets,Primary,2021,148
Target_Markets,Small Fleets,Target,2021,148
Target_Markets,Medium Fleets,Target,2021,148
Asset_Monitoring,Trailers,Supported,2021,148
Asset_Monitoring,Heavy Equipment,Supported,2021,148
Asset_Monitoring,Porta-Potties,Specific niche,2021,148
Hardware,Black Box Units,3-wire installation,2021,148
Hardware,OBD-II Plug-in,Available,2021,148
Hardware,Asset Trackers,Battery-powered and wired,2021,148
Hardware,Networks,AT&T or Verizon,2021,148
Hardware,Hardware Source,Outsourced range of configurations,2021,148
Features,Mapping,Google Maps,2021,148
Features,Reports,Standard and custom,2021,148
Features,Landmarks,Geofences,2021,148
Features,Stop Times,Tracked,2021,148
Features,After-Hours Alerts,Supported,2021,148
Features,Mobile Apps,For fleet managers,2021,148
Features,Dashboards,Fleet and service,2021,148
Features,Exception Reports,Available,2021,148
Features,IFTA,State tax reporting,2021,148
Driver_Performance,Speeding,Notification,2021,148
Driver_Performance,Fast Starts,Monitoring,2021,148
Driver_Performance,Hard Braking,Monitoring,2021,148
ELD,Device Type,ECM plug-in with Bluetooth,2021,148
ELD,Tablet Support,Android tablet or smartphone,2021,148
ELD,Target Market,Fleet management + ELD (not ELD-only),2021,148
Distribution,Inside Sales,Primary channel,2021,148
Distribution,Resellers,White label offerings,2021,148
Geographic,Primary Market,US,2021,148
Geographic,Latin America,Customer presence,2021,148
Geographic,Europe,Customer presence,2021,148
Geographic,Asia,Customer presence,2021,148
Geographic,Africa,Customer presence,2021,148
Pricing,OBD Plug-in Device,$39.95,2021,148
Pricing,Monthly Service,$16.95,2021,148
Pricing,Contract,Month-to-month (no contract),2021,148
Pricing,Installation,Self-install,2021,148
COVID_Impact,Churn,Limited impact,2020,148
COVID_Impact,Sales,Limited impact,2020,148
COVID_Impact,Revenues,Limited impact,2020,148
