Metric,Value,Geography,Time_Period,Rank_Position,Source_Page
Units in Service,1750000,U.S.,2021,2nd largest (units),111
Units in Service,2200000,Global,2021,2nd largest (units),111
Revenue Position,Largest,Global,2021,1st largest (revenue),111
Employees,3500+,15 countries,2021,Not specified,111
ELD Installations,150000+,U.S.,Late 2017,Not specified,111
Retail Distribution,1400 stores,U.S.,December 2020,Verizon corporate stores,111
OEM Partners,Multiple,"Ford GM Volvo Group Fiat Chrysler Mack Trucks John Deere",2021,Not specified,111
Consumer Automakers,"Mercedes-Benz Toyota Lexus Volkswagen",Global,2021,Built-in and aftermarket services,111
European Markets,"England France Germany Ireland Italy Netherlands Poland Portugal Spain",Europe,2021,Not specified,111
Other Markets,"China ANZ Latin America",International,2021,Not specified,111
Pricing Range,23-28 USD per month,U.S.,2021,Depends on fleet size and service level,111
Contract Duration,2-3 years,U.S.,2021,Typical contract length,111
Activation Fee,~150 USD,U.S.,2021,Included in pricing,111
