Partner_Customer,Type,Details,Date,Source_Page
Volvo,OEM Partnership,Data integration into Samsara platform,2020,114
Navistar,OEM Partnership,Data integration into Samsara platform,2020,114
Ford,OEM Partnership,Data integration into Samsara platform,2020,114
EVgo,EV Charging Partnership,Accelerate electric vehicle transition,July 2021,114
City of Sacramento,Government Customer,Municipal fleet,Current,114
Clean Harbors,Commercial Customer,Waste management,Current,114
ADM,Commercial Customer,Agriculture,Current,114
Swire Coca-Cola,Commercial Customer,Beverage distribution,Current,114
Bragg Construction,Construction Customer,Construction fleet,Current,114
ArcBest,Trucking Customer,Transportation,Current,114
Fames Transport,USPS Contractor,Postal service contractor,Current,114
Schwebel Baking Company,Commercial Customer,Food distribution,Current,114
Goodfellow Brothers,Environmental Construction,Construction services,Current,114
GB Transco,Trucking Customer,Trucking services,Current,114
Ghilotti Brothers,Construction Customer,Construction fleet,Current,114
Massachusetts Bay Transportation Authority,Public Transit,Transit authority,Current,114
City of Boston,Government Customer,Municipal fleet,Current,114
Santa Clara County Fire Department,Public Safety,Fire department,Current,114
Windy City Limousine,Commercial Customer,Limousine service,Current,114
Holiday Tours,Commercial Customer,Tour operator,Current,114
SeniorCare EMS,Public Safety,Emergency medical services,Current,114
Birmingham City Schools,Education Customer,School district,Current,114
CDC Delivery,Commercial Customer,Delivery service,Current,114
San Jose Water Company,Utility Customer,Water utility,Current,114
Sprint Waste Services,Commercial Customer,Waste management,Current,114
Tumino's Towing,Commercial Customer,Towing service,Current,114
