Category,Metric,Value,Time_Period,Source_Page
Company,Incorporated,2000,2000,115
Company,Headquarters,Toronto ON Canada,2021,115
Ownership,Private Equity - Madison Dearborn Partners,Investment made,2014,115
Ownership,Private Equity - Ontario Teachers,Acquired equity from Madison Dearborn,November 2018,115
Employees,Global Staff,800,2021,115
Geographic Markets,"Canada U.S. Australia Netherlands Belgium Luxembourg Austria Germany Denmark Sweden Finland Norway Estonia Latvia Lithuania Mexico",14 countries,June 2021,115
German Market,Launch Date,June 2021,June 2021,115
Subscribers,Units in Service,600000+,2021,115
Customers,Business and Government Organizations,40000+,2021,115
Market Position,Canada,Largest fleet telematics provider (by units),2021,115
