Metric,Value,Year/Period,Region,Notes
Company Name,MiX by Powerfleet,2024,,Formerly MiX Telematics
Previous Name,MiX Telematics,2024,,Rebranded after Powerfleet acquisition
Founded Year,1996,,,
Headquarters,South Africa,,,
Additional Offices,Uganda UK US Mexico Australia Romania Thailand Brazil,2024,,
Total Employees,1000,2024,Global,Over 1000
Americas Employees,100,2024,Americas,Just over 100
Countries Served,120,2024,Global,
Fleet Partners,130,2024,Global,Over 130 worldwide
Revenue USD,145000000,FY2023 Mar,,Fiscal year ending March 2023
Subscription Revenue Percentage,87,FY2023 Mar,,
Americas Revenue USD,27000000,FY2023 Mar,North and Latin America,
Stock Exchange Listing,Delisted,Apr 2024,,Delisted from JSE and NYSE after Powerfleet acquisition
Powerfleet Acquisition Date,Apr 2024,,,Successful combination completed
Heritage Company,OmniBridge,2007,,10-year supplier to Siemens VDO
