Company,Customer_Name,Industry,Country,Year,Notes
Bransys,TNT,Delivery,Global,2021,Major delivery company
Bransys,Helenic Group,Coca-Cola Distribution,Serbia,2021,Coca-Cola distributor
Bransys,Blizoo Media,Telecom,North Macedonia,2021,
Bransys,Various,Trucking,US,2021,Target market
Bransys,Various,Light Vehicle Fleets,US,2021,Target market
Bransys,Various,Refrigerated Transport,US,2021,Target market
Bransys,Various,Waste Management,US,2021,Target market
Bransys,Various,Agriculture,US,2021,Target market
Bransys,Various,Construction,US,2021,Target market
Bransys,Various,Mining,US,2021,Target market
Bransys,Various,Scrap Hauling,US,2021,Key market
Bransys,Various,Refuse,US,2021,Key market
