Company,Category,Metric,Value,Year,Notes
Trimble Transportation,Company History,PeopleNet Founded,1994,,
Trimble Transportation,Company History,PeopleNet Systems Installation Start,1997,,
Trimble Transportation,Acquisition,Trimble Acquired PeopleNet,2011-08,,From Norwest Equity Partners
Trimble Transportation,Branding,Transition to Trimble Brand,2018,,PeopleNet and sister companies
Trimble Transportation,Corporate Structure,Parent Company Spin-off,Fortive Corporation,2016-07,From Danaher Corporation
Trimble Transportation,Target Market,Primary Segments,For-hire and private trucking fleets,2021,
Trimble Transportation,Product,Connected Gateway Launch,PeopleNet PCG,2017-10,
Trimble Transportation,Product,Display Launch,PeopleNet PD.5,2018,Android-based fixed-mount
Trimble Transportation,Product,Combo Device Launch,Trimble Duo,2019-Q4,Android display with 4G LTE gateway
Trimble Transportation,Technology,Platform,ConnectedFleet,2021,SaaS and mobile with predictive analytics
Trimble Transportation,Integration,Software Systems,130+,2021,Different software systems integrated
Trimble Transportation,Product,Video Intelligence Launch,2016,,Forward-facing camera with OER
Trimble Transportation,Product,Wireless Trailer Backup Camera,2017,,Industry first - 360-degree video capability
Trimble Transportation,OEM Partnership,PACCAR Agreement,Exclusive Telematics Provider,2021,Peterbilt SmartLINQ Kenworth TruckTech+
Trimble Transportation,OEM Partnership,PACCAR Free Service,2 years,2021,For SmartLINQ and TruckTech+
Trimble Transportation,Pricing,Typical Hardware Cost,350-1300,2021,USD - depends on plan
Trimble Transportation,Pricing,Typical Monthly Service,20-50,2021,USD - depends on plan
Trimble Transportation,Contract,Typical Term,3-5 years,2021,
