Company,Category,Metric,Value,Year,Currency,Notes
Teletrac Navman,Company History,Teletrac Founded,1990,,,"Los Angeles, TDOA technology"
Teletrac Navman,Company History,Navman Founded,1988,,,"New Zealand, entered fleet tracking 2001"
Teletrac Navman,Acquisition,TrafficMaster Acquired Teletrac,2001,2001,,
Teletrac Navman,Acquisition,Vector Capital Acquired TrafficMaster,145000000,2010,USD,
Teletrac Navman,Acquisition,Danaher Acquired Teletrac,2013,2013,,Prior to acquiring Navman
Teletrac Navman,Acquisition,Danaher Acquired Navman Wireless,2013-01,2013,,
Teletrac Navman,Acquisition,Brunswick Acquired Navman,2003,2003,,
Teletrac Navman,Acquisition,Management Buyout Navman,35000000,2007,USD,From Brunswick with Prairie Capital
Teletrac Navman,Merger,Teletrac and Navman Merged,2015-03,2015,,
Teletrac Navman,Corporate Structure,Fortive Spin-off from Danaher,2016-07,2016,,
Teletrac Navman,Corporate Structure,Vontier Spin-off from Fortive,2020-Early,2020,,Transportation and mobility focus
Teletrac Navman,Company Info,Employees Global,850,2021,,Approximately
Teletrac Navman,Company Info,Vontier Total Employees,8400,2020,,Around
Teletrac Navman,Market,Global Customers,40000,2021,,Approximately
Teletrac Navman,Market,Global Units in Service,550000,2021,,Approximately
Teletrac Navman,Market,Geographic Presence,United States Mexico Europe New Zealand Australia,2021,,Direct and indirect distribution
Teletrac Navman,Product,TN360 Platform Launch,2020,,,"Cloud ecosystem, AI-enabled"
Teletrac Navman,Product,AI Dual Dashboard Camera,2021-01,,,Manufactured by Netradyne
Teletrac Navman,Product,Driver Safety Analytics,2018,,,Module in DIRECTOR platform
Teletrac Navman,Pricing,Monthly Fee Range,30-55,2021,USD,Per vehicle under 3-year contract
Teletrac Navman,Pricing,Upper End Includes,Full Suite,2021,,Mapping navigation messaging diagnostics HOS safety BI
Teletrac Navman,Market,Advanced Features Adoption,50,2021,%,About half of customers purchase
