Customer Name,Type,Segment,Details
PepsiCo,Enterprise,Food Beverage,Large fleet
UPS,Enterprise,Transportation Logistics,Large fleet
GSA Fleet,Government Federal,Government,400000+ vehicles
US Air Force,Government Military,Government,
US Army,Government Military,Government,
Natural Resources Canada,Government Federal,Government,Canada
New York City,Government Municipal,Government,
City of Toronto,Government Municipal,Government,Canada
Georgia Department of Transportation,Government State,Transportation Planning,Altitude platform customer
CalTrans,Government State,Transportation Planning,Altitude platform customer
New York City Department of Transportation,Government Municipal,Transportation Planning,Altitude platform customer
The Ray,Non-Profit,Transportation Innovation,Altitude platform customer
Rocky Mountain Institute,Non-Profit,Energy Sustainability,Altitude platform customer
