Date,Acquirer,Target,Target Country,Target Business,Strategic Rationale
Jan 2016,Fleet Complete,ITmobile,Netherlands,Fleet telematics and mobile workforce,Benelux expansion
Oct 2016,Fleet Complete,Securatrak,Australia,Fleet telematics,Australasia expansion
Mar 2017,Fleet Complete,BigRoad,Canada,ELD and HOS compliance,North America compliance solutions
Jan 2018,Fleet Complete,Ecofleet,Scandinavia,Fleet telematics,Scandinavia Baltics Eastern Europe - carsharing tachograph
Dec 2019,Fleet Complete,Centro de Soluciones Inalámbricas (CSI),Mexico,Fleet telematics,60K users 1800 businesses Latin America expansion
Sep 2024,Powerfleet,Fleet Complete,Canada,Fleet management,606K subscribers global expansion
Oct 2024,Powerfleet,Fleet Complete,Canada,Fleet management,Acquisition closed
2014,KORE,RacoWireless (Position Logic),United States,LBS platform,Position Logic platform acquired as part of deal
2014,Michelin,Sascar,Brazil,Fleet management,Latin America market entry
2017,Michelin,NexTraq,United States,Fleet management,North America expansion
2019,Michelin,Masternaut,United Kingdom,Fleet management,European market leadership
2015,Geotab,Strategic Telecom Solutions (STS),United States,Sales channel,US market expansion
2016,Geotab,Maps BI (Inovex),Canada,Data visualization,Big data analytics capability
2018,Geotab,FleetCarma,Canada,EV telematics,EV fleet management leadership
2019,Geotab,BSM Technologies,Canada,Telematics,Canadian market
2019,Geotab,Intendia,Spain,Heavy-truck solutions,European heavy-truck market
Apr 2024,Powerfleet,MiX Telematics,South Africa,Fleet management,Global fleet management consolidation
2007,MiX Telematics,Siemens VDO Fleet Manager distribution rights,Global,Fleet management,Product portfolio acquisition
2007,MiX Telematics,Siemens VDO UK operations,United Kingdom,Fleet management outfitting,UK market presence
