Company,Customer_Name,Industry,Location
Automile,Nagle Companies,Trucking and supply chain management,US
Automile,Tiger Mechanical,Appliance repair,US
Automile,Dotson Group,Environmental services,US
Automile,J. Rollins Construction,Construction,"Dayton, TX"
Automile,Faden Builders Inc,Construction,"Mount Dora, FL"
Automile,Steve Taylor Excavation,Excavation,"Cloverdale, CA"
Automile,Nagle Athletic Surfaces,Athletic surfaces,"East Syracuse, NY"
Automile,Jamar Power Services,Power services,"Santee, CA"
Automile,Elevation Solar,Solar,"Gilbert, AZ"
Automile,Scientific Calibration Inc,Calibration services,"Cary, NC"
