Category,Metric,Value,Year,Notes
Company,Company Name,Lytx Inc.,2021,
Company,Previous Name,DriveCam,2013,Changed name but continues using DriveCam for event recorders
Company,Address,"9785 Towne Centre Drive, San Diego, CA 92121",2021,
Company,Phone,(866) 419-5861,2021,
Company,Website,www.lytx.com,2021,
Company,Contact,Heather Andres - Sr. Director of Marketing,2021,
Company,Founded,1998,2021,
Company,Employees,600+,2021,
Offices,San Diego CA,Yes,2021,
Offices,Framingham MA,Yes,2021,
Offices,Brookfield WI,Yes,2021,
Offices,England,Yes,2021,
Offices,Israel,Yes,2021,
History,Category Pioneer,Video telematics,1998,Launched Lytx Driver Safety Program
History,Category Leadership,Market leader,2021,Over two decades
Financial,Transaction Value,Over $700 million raised,2018,Established enterprise value over $1.5 billion
Financial,Enterprise Valuation,Over $1.5 billion,2018,
Financial,Transaction Value,Over $2.5 billion,2020,Permira acquisition
Financial,Record Revenue,Yes,2020,63% increase in new customers
Financial,Q1 2021 Subscriptions,100000+ new/upgrade,2021,Quarterly record for MV+AI technology
Financial,2020 Installations,180000,2020,Record installations with Q4 acceleration
Market,Customer Count,4000+ fleets,2021,
Market,Connected Devices,700000+,2021,Protecting drivers in US
Market,Target Markets,"Construction, distribution, government, transit, trucking, waste disposal, utilities, field service",2021,
