Customer,Industry,Details
Wal-Mart Stores,Retail,Major customer
Orange County FL Sheriff's Office,Government/Public Safety,Law enforcement
U.S. Xpress Inc.,Trucking,Largest privately-held trucking fleet in North America
Waste Management,Waste Disposal,
Greyhound,Transit,
National Grid,Utilities,
Coca-Cola Bottling Co. Consolidated,Beverage Distribution,Largest independent Coca-Cola bottler in US
CRST International,Trucking,
Dupre Logistics,Logistics,
Roehl Transport,Trucking,
Cardinal Logistics Management Corporation,Logistics,
USA Truck,Trucking,
