Category,Metric,Value,Details,Year,Source
Company Info,Company Name,PowerFleet,,2021,Page 269
Company Info,Former Name,I.D. Systems,Founded 2003,2003,Page 269
Company Info,Name Change,Changed to PowerFleet,At time of Pointer acquisition,Oct 2019,Page 269
Company Info,Address,123 Tice Boulevard Suite 101,"Woodcliff Lake, NJ 07677",2021,Page 269
Company Info,Phone,(201) 996-9000,,2021,Page 269
Company Info,Website,www.powerfleet.com,,2021,Page 269
Company Info,Contact,Matthew Harris,Sr. VP and GM,2021,Page 269
Company Info,Stock Exchange,Listed on NASDAQ and TelAviv Stock Exchanges,,2021,Page 269
Financial Data,Employees,Approximately 800 full-time employees worldwide,,2021,Page 269
Financial Data,Revenue 2020,$113.6 million,"38.7% increase from 2019",2020,Page 271
Financial Data,Revenue 2019,$81.9 million,,2019,Page 271
Financial Data,Revenue Increase Attribution,Full year of revenue from Pointer acquisition offset by COVID-19 impact,,2020,Page 271
Company Info,Initial Focus,Monitoring of industrial equipment,Such as forklifts,2003,Page 269
Acquisitions,Asset Intelligence LLC,Acquired from GE for approximately $15 million cash,Had more than 120,000 units under contract at time,Jan 2010,Page 269
Acquisitions,CarrierWeb USA,Acquired January 2019,"Provider of fleet and asset management solutions for trucking and distribution",Jan 2019,Page 269
Acquisitions,CarrierWeb Units,Approximately 10,000 units at time of acquisition,"50% trucks, 25% reefers, 25% dry trailers",2019,Page 269
Acquisitions,Pointer Telocation Ltd,Acquired October 2019,"Israel-based, provides RF and GPS/cellular AVL solutions in Israel, South America, other geographies",Oct 2019,Page 269
Product Lines,PowerFleet for Logistics,"Includes CarrierWeb U.S.-based assets, in-cab trucking telematics, ELDs, two-way refrigerated command and control",,2021,Page 269
Product Lines,PowerFleet for Industrial,Helps companies with warehouses monitor forklifts and other vehicles,"Efficiency and safety, including OSHA requirements monitoring",2021,Page 270
Product Lines,PowerFleet for Vehicle,"Telematics solutions for rental car companies, private fleets, vehicle OEMs",,2021,Page 270
Hardware,LV-9000,Android-based in-cab computer,"Touchscreen and fully integrated ELD",2021,Page 269
Hardware,LV-9000 Features,"GPS tracking, route geofences, user-defined landmark arrival/departure notification, text-messaging, HOS, electronic DVIR, driver workflow and job assignments, real-time maintenance reporting, driver and truck performance monitoring with CAN-Bus data, navigation with truck attributes, exception reporting with alerts, fleet KPI reporting",,2021,Page 269
Hardware,LV-710,For dry vans/refrigerated trailers/containers/chassis/cargo,"High-definition camera, image recognition processor, door sensor, cargo-area environmental sensors",2021,Page 269
Hardware,GT1,Tracking device,,2021,Page 263
Hardware,GTP Compact Asset Tracker,Uses Globalstar,For trailers/rail cars/containers/portable tanks/non-powered assets,2021,Page 263
Hardware,SET Cellular Equipment Tracker,For powered equipment,"Generators, pumps, compressors, light towers",2021,Page 263
Hardware,SET Cellular Vehicle Tracker,For vehicles,,2021,Page 263
Hardware,Geotab GO9 device,Vehicle tracking device,,2021,Page 263
Market Position,Transportation Assets,Approximately 125,000 transportation assets equipped,Majority being trailer installations,2021,Page 269
Market Position,Class 1-5 Vehicles,Deployed on over 125,000 Class 1-5 vehicles,Most are Avis Budget rental vehicles,2021,Page 270
Market Position,Industrial Equipment,Solutions deployed on industrial equipment,For efficiency and safety monitoring,2021,Page 270
Software,OBD-II Support,Second-generation OBD-II,"Library of certified vehicle code interfaces for variety of make-model-years",2021,Page 270
Trailer OEM,Trailer OEM Installation,Units can be installed by trailer OEMs,At customer's request,2021,Page 269
Product Launch,Vista,Launched June 2021,"Best-in-class in-vehicle video solution leveraging AI to analyze and proactively manage risky driving situations",June 2021,Page 270
Product Launch,Vista Technology,Expands image technology portfolio,"Includes LV-710 freight camera, CP4 System for industrial truck market",2021,Page 270
Partnerships,Day & Ross,Approximately 3,000 trailers,"LV-500 solar tracking solution, portion with LV-710 camera system",Aug 2020,Page 270
Partnerships,Day & Ross Description,One of largest transportation companies in Canada,,2020,Page 270
Partnerships,Tropical Shipping,Over 2,000 5G-compatible LTE LV-300 systems,"Services Bahamas, Caribbean, South and Central America",Feb 2020,Page 270
Partnerships,All Truck,1,500+ trailers,"Upgrade from 3G to PowerFleet 5G-compatible LTE LV-100 devices",Jan 2020,Page 270
Partnerships,All Truck Description,Specializes in local and regional truckload transportation,Throughout Midwest,2020,Page 270
Partnerships,Hyundai Translead,Leading van trailer manufacturer in North America,Leverage PowerFleet LV-300 trailer tracking gateway for HT LinkSense,Sep 2021,Page 270
Partnerships,HT LinkSense,Initially available for dry van line,"Future expansion into refrigerated, flatbed, chassis and aftermarket products planned",2021,Page 270
Customers,Avis Budget,Major rental car company customer,"Wireless in-vehicle management system permits two-way data communications, enables virtual rent and check-in via mobile device",2021,Page 270
Customers,Avis Budget Benefits,"Streamlines and automates vehicle data collection and billing process, provides data on mileage, fuel level, condition when returned",2021,Page 270
Target Markets,Service and Delivery Fleets,Including last mile delivery,,2021,Page 270
Technology,Cellocator Brand,Cellular/GPS tracking devices,"In U.S. and overseas from Pointer acquisition",2021,Page 269
