Category,Metric,Value,Details,Year,Source
Company Info,Company Name,FleetMind Solutions,,2021,Page 274
Company Info,Founded,1997,To develop telematics solutions for large fleets,1997,Page 274
Company Info,Address,1751 Richardson Suite 3119,"Montreal, Quebec Canada H3K 1G6",2021,Page 274
Company Info,Phone,(888) 639-1666,,2021,Page 274
Company Info,Website,www.fleetmind.com,,2021,Page 274
Company Info,Contact,Tom Gill,President and SafeFleet SVP,2021,Page 274
Financial Data,Employees,Just under 50 employees,,2021,Page 274
Market Position,Primary Focus,Fleet and route management,"Waste and recycling, municipal government fleets and private haulers",2021,Page 274
Market Position,Waste/Recycling Units,Over 6,000 units installed,On waste disposal and recycling trucks,2021,Page 274
Market Position,Other Units,Some 3,000 units installed,"On cement mixers and other asset categories",2021,Page 275
Market Position,Geographic Distribution,Approximately 70-80% of installed base in United States,,2021,Page 275
Market Position,Industry Position,Largest MRM supplier focused primarily on waste management market,With fully-integrated on-board computer solution,2021,Page 274
Market Position,Major Customers,Over 50 major customers,Encompassing some 150 independent operating divisions across North America,2021,Page 274
Acquisitions,SafeFleet,Acquired by SafeFleet June 2016,"SafeFleet provides safety-related products for fleet vehicles worldwide, owned by Sterling Group (private investment firm)",June 2016,Page 274
Company Info,U.S. Offices,Maintains several sales offices in United States,In addition to Montreal headquarters,2021,Page 274
Hardware,TREQ 674,Advantech docked tablet,"Ruggedized computer that accepts inputs from on-board systems including cameras, scales, RFID readers, tire pressure, fuel monitoring",2021,Page 274
Hardware,TREQ 674 Communications,4G cellular and Wi-Fi communications,CAN-Bus interface,2021,Page 274
Hardware,TREQ 674 Connectivity,"Network, serial, and USB communications supported",Along with VOIP,2021,Page 274
Hardware,Digital Video Recorder (DVR),New DVR can record video from up to 8 cameras,,2021,Page 274
Hardware,SafeFleet Cross-Selling,Successful at cross-selling DVRs and video cameras,From other SafeFleet companies since acquisition,2021,Page 274
Software,FleetLink Solution,Underpinned by TREQ 674 docked tablet,,2021,Page 274
Software,FleetMind Fleet Management,Available as licensed client-server based platform or SaaS solution,Customers gravitating toward SaaS solution,2021,Page 274
Software,FleetMind Features,"Real-time information about truck's load-weight, route status, service completion, driver activities, video input from up to 8 cameras for driver monitoring and coaching",,2021,Page 274
Software,Container Lift Tracking,"Tracks location of container lifts, automatically associates lifts with customers, time-stamps each lift",,2021,Page 274
Software,Third-Party Integration,"Oracle Customer Services software, Soft-Pak, PCScale Tower, Citiworks, ABB (Ventyx), Oracle Utilities, TRUX waste management software systems","For routing, billing, customer service",2021,Page 274
Software,FleetLink Route System,"Create, monitor, and modify routes","Download routes and directions to drivers, upload completed routes at end of day",2021,Page 274
Software,Cart Management System,Integrates with waste disposal cart management,Can use RFID technology to monitor container lifts along route,2021,Page 274
Software,New Features,"Route optimization and billing, capability to integrate with third-party route optimization solutions",,2021,Page 274
Technology,RFID Patent,Holds patent covering use of RFID,To collect data from refuse truck,2021,Page 274
OEM Partnership,McNeilus (Oshkosh),Major manufacturer of waste disposal trucks,Offers entry-level FleetMind package as optional add-on,2021,Page 275
OEM Partnership,McNeilus Package,Includes video camera and DVR,Can upgrade to 4G camera supplied by Rear View Safety,2021,Page 275
OEM Partnership,McNeilus Sales,Sells about 3,000 of these solutions per year,,2021,Page 275
Product Lines,Hand-Held Device,For service fleets and supervisor tracking,,2021,Page 275
Product Lines,GPS Fleet Management,For municipal customers,,2021,Page 275
Pricing,Traditional Model - Hardware Purchase,$4,000 to $8,000 upfront,"Depending on configuration",Historical,Page 275
Pricing,Traditional Model - Service,$85 to $130 per month,,Historical,Page 275
Pricing,SaaS Model,$200 to $300 per vehicle per month,"Depending on options selected, includes device and service",Historical,Page 275
Pricing,Product Lineup Revamp,Revamping product lineup and pricing,"Will offer BYOD solution with software licensing fee, new Android-based tablets",2021,Page 275
Customers,Major Customers,"Republic Services, Waste Management, Casella Waste Systems, Knight Waste Services, The Miller Group, U-Pak, City of Los Angeles, City of Austin TX, City of Albuquerque NM, City of Tacoma WA",,2021,Page 275
COVID Impact,2020 Performance,Flat year in terms of profitability,Impacted in Q3 2020 by municipal customer budget shortfalls,2020,Page 275
COVID Impact,Project Delays,Municipal customers delayed RFPs and deliveries,Due to budget shortfalls,2020,Page 275
