Category,Metric,Value,Year,Notes
Company,Company Name,Nauto,2021,
Company,Address,"220 Portage Avenue, Palo Alto, CA 94306",2021,
Company,Phone,(888) 628-8606,2021,
Company,Website,www.nauto.com,2021,
Company,Contact,John Bruggeman - Chief Marketing Officer,2021,
Company,Founded,2015,2021,Silicon Valley startup
Company,Employees,160,2021,Mostly in US
Offices,Headquarters,Palo Alto CA,2021,
Offices,Tokyo,Japan,2021,
Offices,Dublin,Ireland,2021,HQ for European sales
History,Launch,April 2017,2021,US launch
Financial,Series B Funding,$159 million,2017,Led by Greylock Partners and SoftBank subsidiary
Financial,Series A Investors,"Playground Global, DNX Ventures",2017,Participated in Series B
Financial,Strategic Investors,"BMW iVentures, General Motors Ventures, Toyota AI Ventures, Allianz Group",2017,
Market,Customer Count,500+ fleets,2021,Estimated
Market,Target Markets,"Services, distribution, transportation, logistics, energy, utilities, infrastructure, ridehailing",2021,
Pricing,Hardware Cost,Starts at $499.95,2021,Two video cameras included
Pricing,Monthly Service,Starts at $39.95,2021,Can vary by volume/factors
