Customer_Name,Industry,Customer_Type
Meijer,Retail,Shipper
Frito-Lay,Food and Beverage,Shipper
Coca-Cola,Food and Beverage,Shipper
Cargill,Food and Beverage,Shipper
Kimberly-Clark,Consumer Packaged Goods,Shipper
Smithfield Foods,Food and Beverage,Shipper
Conagra Brands,Food and Beverage,Shipper
Abbott,Pharmaceutical,Shipper
PetSmart,Retail,Shipper
Kraft Heinz,Food and Beverage,Shipper
ExxonMobil,Energy,Shipper
Exide Technologies,Manufacturing,Shipper
Dow,Chemical & Plastic,Shipper
Constellation Brands,Food and Beverage,Shipper
AB InBev,Food and Beverage,Shipper
