Type,Partner/Customer,Year,Details,Results
Fleet Management,Donlen,2019,Supply agreement,
Insurance,Atlas Financial Holdings,2017,Taxi/livery/paratransit deployment,35.5% claims reduction
Automaker Partners,BMW,2017,Autonomous vehicle algorithm development,Strategic investor
Automaker Partners,General Motors,2017,Autonomous vehicle algorithm development,Strategic investor
Automaker Partners,Toyota,2017,Autonomous vehicle algorithm development,Strategic investor
Geographic,United States,2021,Primary market,Direct sales
Geographic,Japan,2021,Active market,Tokyo office
Geographic,Europe,2021,Active market,Dublin HQ for sales
Distribution,Insurance companies,2021,Channel partner,
Distribution,Telecom,2021,Channel partner,
Distribution,Fleet leasing partners,2021,Channel partner,
