Customer,Industry,Details
Amazon,E-commerce/Logistics,Enterprise fleet
Nestle,Food & Beverage,Enterprise fleet
Johnson & Johnson,Pharmaceutical,Enterprise fleet
Pfizer,Pharmaceutical,Enterprise fleet
GSK,Pharmaceutical,Enterprise fleet
Cummins,Manufacturing,Enterprise fleet
Merck & Co.,Pharmaceutical,Enterprise fleet
Zurich,Insurance,Enterprise fleet
BT,Telecommunications,Enterprise fleet
Royal Mail,Postal Services,Enterprise fleet
Liberty Mutual,Insurance,Enterprise fleet
Roche,Pharmaceutical,Enterprise fleet
