Category,Metric,Value,Year,Notes
Company,Company Name,Netradyne,2021,
Company,Address,"9191 Towne Centre Drive, Suite 200, San Diego, CA 92122",2021,
Company,Phone,(833)-476-9663,2021,
Company,Website,www.netradyne.com,2021,
Company,Contact,Adam Kahn - President Commercial Fleet Team,2021,
Company,Founded,2015,2021,Former Qualcomm executives
Company,Employees,160,2021,
Offices,Headquarters,San Diego CA,2021,
Offices,Technology Innovation,Bangalore India,2021,
History,Bootstrap Funding,Initial,2016,Product design and marketing
Financial,Series A Funding,$16 million,2016-06,Reliance Industries Ltd subsidiary
Financial,Series B Funding,$21 million,2018-09,Led by M12 (Microsoft venture arm)
Financial,Series B Investors,"Reliance Industries, Point 72 Ventures",2018,
Financial,Strategic Investment,Hyundai Cradle,2019,Undisclosed amount
Market,Units in Service,75000+,2021,Estimated
Market,Milestone,1+ billion miles,2020-07,Video mapped and analyzed
Market,Major Customer,Amazon,2021,Delivery vehicle deployment
Pricing,Bundled Monthly,$40-60,2021,Typical range
Pricing,Contract Length,3 years,2021,Standard contract
