Customer_Name,Location,Type
Pace Suburban Bus System,"Chicago, IL",Public transit agency
Edmonton Transit,Edmonton AB,Public transit agency
Mississauga Transit,Mississauga ON,Public transit agency
Dallas Area Rapid Transit,"Dallas, TX",Public transit agency
Kansas City Area Transportation Authority,"Kansas City, MO",Public transit agency
Metro (Cincinnati),"Cincinnati, OH",Public transit agency
Des Moines Area Regional Transit,"Des Moines, IA",Public transit agency
VIA Metropolitan Transit,"San Antonio, TX",Public transit agency
Delaware Transit Corporation,Delaware,Public transit agency
Potomac and Rappahannock Transportation Commission,Virginia,Public transit agency
Fort Worth Transportation Authority,"Fort Worth, TX",Public transit agency
Maryland Transit Administration,Maryland,Public transit agency
Nashville Metropolitan Transit Authority,Nashville TN,Public transit agency
