Customer_Name,Location,Type
Chicago Transit Authority,"Chicago, IL",Major metro transit
New York MTA,"New York, NY",Major metro transit
Washington DC Metro Area Transit Authority,"Washington, DC",Major metro transit
Sarasota County Area Transit,Sarasota FL,Regional transit
Greater Richmond Transit Company,"Richmond, VA",Regional transit
Capital District Transportation Authority,New York,Regional transit
Chattanooga Area Regional Transportation Authority,Chattanooga TN,Regional transit
Sacramento Regional Transit District,Sacramento CA,Regional transit
Pinellas Suncoast Transit Authority,Pinellas County FL,Regional transit
Roaring Forks Transportation Authority,Colorado,Regional transit
Eagle County Transit,Colorado,Regional transit
Central New York Regional Transportation Authority (Centro),New York,Regional transit
Worcester Regional Transit Authority,Worcester MA,Regional transit
Phoenix Valley Metro (RPTA),"Phoenix, AZ",Major metro transit
Ohio State University,"Columbus, OH",University transit
