Attribute,Value
Company Name,CalAmp Corp.
Address,15635 Alton Parkway Suite 250
City State Zip,Irvine CA 92618
Phone,(805) 600-5600
Website,www.calamp.com
Founded,1981
Company Type,Publicly-held
Company Description,Provider of unified IoT ecosystem of software applications|cloud and edge platforms|telematics services|edge computing products
Industrial IoT Solutions,End-to-end visibility for construction OEMs|dealers|rentals|contractors for equipment of all sizes
Edge Devices,Purpose-built with CAN-Bus connectivity
Cloud Platform,CalAmp Telematics Cloud (CTC) Platform
Data Provided,Equipment location|Service reminders based on mileage/use|Odometer readings|Fuel levels|Fault code alerts|Hydraulics|Oil pressure|Other information
AEMP Support,View all AEMP data feeds in one view
Platform Features,Real-time asset monitoring|Alert notifications|Detailed analytics reports|Usage rules definition|Asset utilization tracking|Virtual boundaries monitoring
Product Name,AssetOutlook
Heavy Equipment Assets Monitored,Over 35000
Market Position,Largest supplier of GPS/cellular telematics devices for U.S. commercial telematics market; Major global supplier
