Company,Units/Revenue Metric,Value,Year/Timeframe,Geographic Coverage,Notes
CalAmp,Software/Service Subscribers,~1000000,February 2021,Global within core businesses,N/A
CalAmp,Systems Devices Installed,Over 20000000,N/A,Global multiple verticals,Automotive|Insurance|Transportation/logistics|Government|Industrial equipment
Xirgo Technologies,Annual Revenue,Expected to exceed $100 million,2021,N/A,At time of Sensata acquisition
Xirgo Technologies,Projected Revenue Growth,In excess of 20%,Next several years post-2021,N/A,Post-acquisition projection
Xirgo Technologies,Acquisition Price,$400 million,April 2021,N/A,By Sensata Technologies
Xirgo Technologies,Employees Acquired,~235 (160 sales/eng/mfg + 75 engineers),April 2021,U.S. and Lithuania,Part of Sensata acquisition
Xirgo Technologies,UBI Devices Supplied,Hundreds of thousands,N/A,Progressive Insurance Snapshot,Major supplier
Danlaw Technologies,Employees,~800 (300+ engineers),N/A,U.S.|India|China,Global operations
Suntech U.S.,Devices Delivered Globally,Over 35000000,End of 2020,Worldwide,Parent company Suntech International
Suntech U.S.,Countries Served,Over 100,N/A,Including U.S. and Canada,Strong Latin America presence
Suntech U.S.,Patents,Over 100,N/A,N/A,First chip-based GPS tracking design
Queclink,Devices Delivered,Over 35000000,End of 2020,Worldwide,N/A
Queclink,Countries Served,Over 100,N/A,Including U.S./Canada,Strong Latin America presence
Queclink,Employees,Over 300,N/A,Multiple subsidiaries and R&D centers,N/A
Queclink,Patents,Over 100,N/A,N/A,N/A
Queclink,Stock Exchange Listing,Shenzhen Stock Exchange Chinext Board,January 2017,N/A,Publicly-held
