Customer,Type,Region,Deployment Details
SoCalGas,Gas utility,California,Clevest customer
Albuquerque County Water Authority,Water utility,New Mexico,Clevest customer
American Electric Power,Electric utility,Multi-state,Clevest customer
Bluebonnet Electric Cooperative,Electric cooperative,Texas,Clevest customer
ComEd,Electric utility,Illinois,Clevest customer
City of Calgary,Municipal utility,Alberta Canada,Clevest customer
FortisBC Energy,Gas utility,British Columbia Canada,Clevest customer
SUEZ,Water utility,Multi-national,Clevest customer
BGE,Electric and gas utility,Maryland,Clevest customer
City of Kitchener,Municipal utility,Ontario Canada,Clevest customer
Colorado Springs Utilities,Multi-utility,Colorado,Clevest customer
Saudi Electric Co.,Electric utility,Saudi Arabia,10 million smart meters (June 2020 announcement); deployed by State Grid Corp of China subsidiary
