Company,Event,Date,Metric,Value,Unit,Details
MiX Telematics,Merger Announcement,October 2023,Combined Employees,1800,Employees,Post-merger with Powerfleet
MiX Telematics,Merger Closure,April 2024,Combined Revenues,285,Million USD,Annual total revenues
MiX Telematics,Merger Closure,April 2024,Enterprise Customers,7500,Customers,Worldwide
MiX Telematics,Merger Closure,April 2024,Global Subscribers,1900000,Subscribers,Combined company
Powerfleet,Pre-merger,December 2023,Powerfleet Employees,800,Employees,Globally
Powerfleet,Pre-merger,2023,Powerfleet Revenues,133.7,Million USD,Annual revenues
MiX Telematics,Subscriber Growth,December 2023,Total Subscribers,1142000,Subscribers,All offerings globally
MiX Telematics,Subscriber Growth,March 2023,Total Subscribers,1002000,Subscribers,All offerings globally
MiX Telematics,Regional Market,2024,Americas Active Units Low,108000,Units,Estimated range
MiX Telematics,Regional Market,2024,Americas Active Units High,115000,Units,Estimated range
MiX Telematics,Fleet Composition,End of Fiscal 2023,Large Fleets Percentage,92,Percent,Fleets with 50+ vehicles
