Company,Metric,Value,Unit,Date,Details
Powerfleet,Headquarters,New Jersey,Location,2024,USA
Powerfleet,Global Employees,800,Employees,2023,Approximately
Powerfleet,Annual Revenue,133.7,Million USD,2023,Pre-merger
Powerfleet,Global Subscribers,700000,Subscribers,End of 2023,More than
Powerfleet,US Market Share,50,Percent,End of 2023,Of total subscribers
Powerfleet,Enterprise Customers,7500,Customers,2024,Post-merger with MiX
Powerfleet,Combined Revenue Post-Merger,285,Million USD,2024,With MiX Telematics
Powerfleet,Combined Employees Post-Merger,1800,Employees,2024,With MiX Telematics
Powerfleet,Combined Subscribers Post-Merger,1900000,Subscribers,2024,Global
Powerfleet,Stock Exchange Listing,NASDAQ,Primary,2024,Primary listing
Powerfleet,Stock Exchange Listing,Tel Aviv,Secondary,2024,Secondary listing
