Category,Region,Metric,Value_2023,Value_2028,CAGR,Unit,Source
Fleet Management Systems,North America,Active Units,17400000,30500000,11.9%,units,Berg Insight 2024
Fleet Management Systems,North America,Penetration Rate,53.3%,80.6%,,percent,Berg Insight 2024
Fleet Management Systems,Latin America,Active Units,6500000,13000000,14.9%,units,Berg Insight 2024
Fleet Management Systems,Latin America,Penetration Rate,19.1%,36.7%,,percent,Berg Insight 2024
Fleet Management Systems,Americas Total,Active Units,23900000,43500000,13.2%,units,Berg Insight 2024
Commercial Vehicles,United States,Total in Operation,288400000,,,vehicles,Berg Insight 2024
Commercial Vehicles,United States,In Fleet Use,27200000,,,vehicles,Berg Insight 2024
Commercial Vehicles,United States,Fleet Penetration,9.4%,,,percent,Berg Insight 2024
Commercial Vehicles,Canada,Total in Operation,27700000,,,vehicles,Berg Insight 2024
Commercial Vehicles,Canada,In Fleet Use,2700000,,,vehicles,Berg Insight 2024
Commercial Vehicles,Canada,Fleet Penetration,9.8%,,,percent,Berg Insight 2024
Commercial Vehicles,North America,Commercial Use Total,30000000,,,vehicles,Berg Insight 2024
Commercial Vehicles,Latin America,Total in Operation,40700000,,,vehicles,Berg Insight 2024
Commercial Vehicles,Latin America,LCVs,33400000,,,vehicles,Berg Insight 2024
Commercial Vehicles,Latin America,HCVs,7300000,,,vehicles,Berg Insight 2024
Trailers,North America,Total in Use,5200000,,,trailers,Berg Insight 2024
Trailers,North America,Dry Van,2700000,,,trailers,Berg Insight 2024
Trailers,North America,Reefer,900000,,,trailers,Berg Insight 2024
Trailers,North America,Flatbed,500000,,,trailers,Berg Insight 2024
Trailers,North America,Others,1100000,,,trailers,Berg Insight 2024
Trailers,Latin America,Total Estimate,1400000,,,trailers,Berg Insight 2024
New Registrations,North America,GVW 1-8 Total,12409000,,,vehicles,Berg Insight 2024
New Registrations,United States,GVW 1-8 Total,11175000,,,vehicles,Berg Insight 2024
New Registrations,Canada,GVW 1-8 Total,1234000,,,vehicles,Berg Insight 2024
