Country,LCVs,HCVs,Total_Commercial_Vehicles,Year,Notes
Mexico,12117000,1014000,13130000,2019,Largest total CV market in LatAm
Brazil,7004000,2800000,9804000,2019,Largest HCV market; 60% of freight by road
Argentina,2648000,763000,3411000,2019,
Colombia,2053000,499000,2552000,2019,
Chile,1685000,310000,1995000,2019,
Peru,1295000,571000,1866000,2019,
Guatemala,453000,84000,537000,2019,
Uruguay,275000,23000,298000,2019,
El Salvador,136000,25000,161000,2019,
Nicaragua,106000,20000,125000,2019,
Others (Estimate),5622000,1236000,6858000,2019,
Total Latin America,33393000,7344000,40738000,2019,41M total including trailers (1.4M)
