Region,Metric,Year_2023,Year_2024,Year_2025,Year_2026,Year_2027,Year_2028,CAGR,Unit
North America,Unit Shipments Aftermarket,3860000,4350000,4850000,5350000,5880000,6400000,10.6%,units
North America,Unit Shipments OEM,670000,710000,750000,800000,850000,910000,6.3%,units
North America,Unit Shipments Total,4530000,5060000,5600000,6150000,6730000,7310000,10.0%,units
North America,Installed Base,17400000,19680000,22140000,24770000,27570000,30520000,11.9%,units
North America,Penetration Rate,53.3,58.5,63.9,69.4,75.0,80.6,,percent
North America,Market Value,5930,6640,7395,8191,9026,9891,,million USD
Latin America,Unit Shipments Aftermarket,1540000,1810000,2100000,2410000,2770000,3200000,15.8%,units
Latin America,Unit Shipments OEM,170000,190000,210000,240000,270000,300000,12.0%,units
Latin America,Unit Shipments Total,1710000,2000000,2310000,2650000,3040000,3500000,15.4%,units
Latin America,Installed Base,6470000,7430000,8540000,9810000,11270000,12950000,14.9%,units
Latin America,Penetration Rate,19.1,21.7,24.7,28.1,31.9,36.7,,percent
Latin America,Market Value,1801,2048,2330,2650,3014,3429,,million USD
North America,Trailer Telematics Shipments,910000,920000,1135000,1240000,1255000,1265000,6.8%,units
North America,Trailer Telematics Installed Base,3340000,3705000,4115000,4530000,4870000,5135000,9.0%,units
North America,Trailer Telematics Penetration,64.2,69.8,76.0,82.1,86.5,89.4,,percent
Latin America,Trailer Telematics Shipments,80000,95000,110000,120000,135000,145000,12.6%,units
Latin America,Trailer Telematics Installed Base,240000,280000,320000,370000,420000,470000,14.4%,units
Latin America,Trailer Telematics Penetration,16.6,19.2,21.7,24.3,27.0,29.9,,percent
