Company_Name,Company_Type,Primary_Market,Estimated_Subscriber_Base,Key_Differentiator,Ownership_Status,Page_Reference
Samsara,Aftermarket Provider,North America,Not specified in extract,Leading North American player,Public company,202
Lytx,Video Telematics Provider,North America,Not specified in extract,Video telematics specialist,Private,202
Motive (KeepTruckin),Aftermarket Provider,North America,Not specified in extract,ELD and fleet management,Private,202
Zonar Systems,Aftermarket Provider,North America,Not specified in extract,Continental-owned,Continental (Automotive Tier 1),202
GPS Insight,Aftermarket Provider,North America,50000-75000+ (includes CTS acquisition),Regional player,Private,210
Linxup,Aftermarket Provider,North America,Not specified in extract,Regional player,Private,202
GPS Trackit,Aftermarket Provider,North America,Not specified in extract,Regional player,Private,202
IntelliShift,Aftermarket Provider,North America,Not specified in extract,Regional player,Private,202
J. J. Keller,Aftermarket Provider,North America,Not specified in extract,Compliance specialist,Private,202
Rastrac,Aftermarket Provider,North America,Not specified in extract,Regional player,Private,202
Positioning Universal,Aftermarket Provider,North America,Not specified in extract,Regional player,Private,202
Forward Thinking Systems,Aftermarket Provider,North America,Not specified in extract,Regional player,Private,202
Platform Science,Technology Platform,North America,Not specified in extract,Virtual Vehicle platform; Acquiring Trimble telematics,Private,202
ISAAC Instruments,Aftermarket Provider,Canada,Not specified in extract,Leading Canadian player,Private,202
EROAD,Aftermarket Provider,North America,Expanded via Coretex merger,New Zealand-based; North America expansion,Public,202
Radius,Aftermarket Provider,North America,European expansion to North America,European company,Private,202
Quartix,Aftermarket Provider,North America,European expansion to North America,European company,Public,202
RAM Tracking,Aftermarket Provider,North America,European expansion to North America,European company,Private,202
