Company,Region,Units,Measurement_Date,Year,Growth,Notes,Page
EROAD,Global Total,250900,March 2024,2024,,Including pending installations,219
EROAD,Global Total,227100,March 2023,2023,,Including pending installations,219
EROAD,New Zealand,124400,March 2024,2024,,Contracted units,219
EROAD,Australia,19600,March 2024,2024,,Contracted units,219
EROAD,North America,106900,March 2024,2024,,Contracted units,219
EROAD,North America,95100,March 2023,2023,,Contracted units,219
EROAD,North America - Trailers,38100+,Q1 2024,2024,,Trailer units in North America,219
EROAD,Global - Trailers,49500,Q1 2024,2024,,Total trailer units globally,219
EROAD,North America Milestone,100000,2023,2023,,Reached 100K connections,219
EROAD,Global Milestone Post-Coretex,200000+,2021,2021,,Exceeded after acquisition,219
EROAD,Global Milestone,250000+,2024,2024,,Surpassed globally,219
EROAD,Coretex Units Added,50000+,2021,2021,,North American units from acquisition,219
