Company,Metric,Value,Time_Period,Geographic_Region,Notes
Platform Science,Founded,2017,2017,San Diego California,Current form established 2017 (following R&D with Schneider National)
Platform Science,Headquarters,San Diego California,Current,United States,Main office location
Platform Science,Employees,330,Current,United States,Approximate employee count
Platform Science,Series B Funding Date,May 2020,May 2020,Global,Led by Prologis with Daimler Truck participation
Platform Science,Series C Funding,115000000,February 2022,Global,115 million USD led by SoftBank Vision Fund 2
Platform Science,Growth Capital,125000000,April 2024,Global,125 million USD with strategic investors
Platform Science,Connected Vehicles,115000,November 2024,North America,Total installed base
Platform Science,Connected Vehicles Growth,75000,October 2023,North America,Previous year comparison
Platform Science,Direct Customers,50+,Current,North America,More than 50 direct customers
Platform Science,Target Fleet Size,1000+,Current,North America,Customer fleet sizes typically exceed 1000 vehicles
Platform Science,Canadian ELD Certification,Q1-2022,Q1-2022,Canada,ELD-compliant HOS certification in Canada
