Investor_Name,Investment_Type,Investment_Round,Investment_Date,Notes
Prologis,Lead Investor,Series B,May 2020,Led Series B funding round
Daimler Truck,Strategic Investor,Series B,May 2020,Made investment during Series B
SoftBank Vision Fund 2,Lead Investor,Series C,February 2022,Led Series C funding round - 115 million USD
Daimler Truck,Strategic Investor,Series C,February 2022,Participated in Series C
PACCAR,Strategic Investor,Equity Investment,March 2023,Minority equity investment
C.R. England,Strategic Investor,Growth Capital,April 2024,125 million USD growth capital round
Cummins,Strategic Investor,Growth Capital,April 2024,125 million USD growth capital round
Daimler Truck,Strategic Investor,Growth Capital,April 2024,125 million USD growth capital round
PACCAR,Strategic Investor,Growth Capital,April 2024,125 million USD growth capital round
RyderVentures,Strategic Investor,Growth Capital,April 2024,125 million USD growth capital round
Schneider,Strategic Investor,Growth Capital,April 2024,125 million USD growth capital round
Trimble,Strategic Investor,Acquisition Agreement,September 2024,Will acquire 32.5% stake upon closing of Trimble transportation telematics acquisition
