Partner_Name,Partner_Type,Partnership_Details,Product/Integration,Year_Announced,Source_Page
Omnitracs,Fleet Management Technology,Strategic technology partnership - DISSOLVED,Access in-cab and trailer telematics on Omnitracs One platform,2019,270
Platform Science,Fleet Management Technology,Strategic partnership - ACTIVE,SkyMatch available on Virtual Vehicle platform,2024,270
Coretex (EROAD),Refrigerated Trailer Technology,Platform integration partnership,Telematics solutions for refrigerated trailers,2024,270
Pressure Systems International (PSI),Tire Inflation Systems,Automatic tire inflation systems partnership,Real-time tire pressure monitoring and maintenance alerts,2024,270
Bison,Logistics Company,Customer,,,269
Fremont Contract Carriers,Logistics Company,Customer,,,269
USA Truck,Logistics Company,Customer,,,269
U.S. Xpress,Logistics Company,Customer,,,269
Heniff Transportation Systems,Logistics Company,Customer,,,269
Transport America,Logistics Company,Customer,,,269
XTRA Lease,Leasing Company,Customer,,,269
