Company_Name,Country_HQ,Market_Focus,Company_Type,Geographic_Presence,Source_Page
Pósitron (Stoneridge),Brazil,Fleet Management & Tracking,Major Local Provider,Brazil,275
Autotrac,Brazil,Fleet Management & Tracking,Major Local Provider,Brazil Argentina,275
Omnilink (Show Tecnologia),Brazil,Fleet Management & Tracking,Major Local Provider,Brazil,275
OnixSat,Brazil,Fleet Management & Tracking,Major Local Provider,Brazil,275
Cobli,Brazil,Fleet Management & Tracking,Local Provider,Brazil,275
Golfleet,Brazil,Fleet Management & Tracking,Local Provider,Brazil,275
Maxtrack,Brazil,Fleet Management & Tracking,Local Provider,Brazil,275
SIGhRA,Brazil,Fleet Management & Tracking,Local Provider,Brazil,275
Ravex,Brazil,Fleet Management & Tracking,Local Provider,Brazil,275
Encontrack,Mexico,Fleet Management & Tracking,Major Local Provider,Mexico,275
RedGPS,Mexico,Fleet Management & Tracking,Local Provider,Mexico,275
Numaris,Mexico,Fleet Management & Tracking,Local Provider,Mexico,275
Grupo UDA,Mexico,Fleet Management & Tracking,Local Provider,Mexico,275
Global Track,Mexico,Fleet Management & Tracking,Local Provider,Mexico Central America,275
Webmaps,Mexico,Fleet Management & Tracking,Local Provider,Mexico,275
Locatelia,Mexico,Fleet Management & Tracking,Local Provider,Mexico,275
Sitrack,Argentina,Fleet Management & Tracking,Major Local Provider,Argentina,275
Strix,Argentina,Fleet Management & Tracking,Local Provider,Argentina,275
Ful-Mar,Argentina,Fleet Management & Tracking,Local Provider,Argentina Latin America,275
Hawk GPS,Argentina,Fleet Management & Tracking,Local Provider,Argentina,275
WideTech,Colombia,Fleet Management & Tracking,Major Local Provider,Colombia,275
Satrack,Colombia,Fleet Management & Tracking,Major Local Provider,Colombia,275
Wisetrack,Chile,Fleet Management & Tracking,Major Local Provider,Chile,275
Redd,Chile,Fleet Management & Tracking,Local Provider,Chile,275
GPS Chile,Chile,Fleet Management & Tracking,Local Provider,Chile,275
Location World,Ecuador,Fleet Management & Tracking,Local Provider,Ecuador,275
Tracklog,Peru,Fleet Management & Tracking,Local Provider,Peru,275
Optimus Fleet,Panama,Fleet Management & Tracking,Regional Provider,Panama Latin America,275
Navixy (SquareGPS),Russia,Telematics Platform Provider,Foreign Provider,Latin America,275
Ituran,Israel,Fleet Management & SVR,Foreign Provider,Latin America,276
3Dtracking,Cyprus/Guernsey,Telematics Platform Provider,Foreign Provider,Latin America,276
Mapon,Latvia,Telematics Platform Provider,Foreign Provider,Latin America,276
Linqo,Lithuania,Telematics Platform Provider,Foreign Provider,Latin America,276
