Metric,Value,Unit,Year,Source,Notes
Total taxis in U.S.,125000,vehicles,2021,MRM Report estimate,Down from 190000 in 2012
Taxi fleets with under 50 vehicles,80,percent,2021,MRM Report,Industry fragmentation
Taxi industry revenue decline,35.5,percent,2020,IBIS World,COVID-19 impact
NYC taxi medallions total,13500,medallions,2021,New York Times,City-issued permits
NYC taxis currently operating,6000,vehicles,June 2021,New York Times,Less than half of total medallions
NYC medallions in storage,5700,medallions,June 2021,New York Times,Voluntarily removed from service
Uber drivers in U.S.,1000000,drivers,February 2021,therideshareguy.com,Approximate
Uber drivers worldwide,3000000,drivers,February 2021,therideshareguy.com,Estimate range 3-4 million
Americans using ridesharing,36,percent,2021,therideshareguy.com,Share of American adults
Uber market share,68,percent,Early 2021,MRM Report estimate,U.S. ride hailing market
Lyft market share,32,percent,Early 2021,MRM Report estimate,U.S. ride hailing market
Uber net loss 2020,$6.7 billion,USD,2020,Company report,Down from $8.5B in 2019
Uber revenue 2020,$11.1 billion,USD,2020,Company report,Down from $13B in 2019
Uber trips 2020,5 billion,trips,2020,Company report,Down from 7B in 2019
Lyft net loss 2020,$1.8 billion,USD,2020,Company report,Down from $2.6B in 2019
Taxi ridership decline (pre-pandemic),50,percent,2020,Taxi Workers Alliance NY,Due to ride-hailing competition
Taxi ridership decline (pandemic peak),90,percent,2020,Taxi Workers Alliance NY,COVID-19 impact
Large taxi fleet AVL penetration,Majority,qualitative,2021,MRM Report,50+ vehicle fleets with AVL and CAD
