Metric,Value,Year,Source
U.S. Electrical Contracting Industry Value,~$170 billion,2020,National Electrical Contractors Association
Number of Electrical Contracting Firms,70000+,2020,National Electrical Contractors Association
Number of Electrical Workers,650000+,2020,National Electrical Contractors Association
Percentage Working for Small Firms (1-9 employees),71%,2020,Electrical Contractor Magazine
Small Firm Annual Revenue,Less than $1.0 million,2020,Electrical Contractor Magazine
Total Vehicles Operated,450000,2021,Estimated
Fleet Vehicles (5+ vehicles),250000,2021,Estimated
GPS Fleet Management Penetration (Top 50),60%,2015,EC&M Magazine
GPS Fleet Management Penetration (Top 50),80%+,2021,Estimated
Overall GPS Tracking Penetration,40-45%,2021,Estimated for companies with 5+ vehicles
