Metric,Value,Year,Source
Number of Landscaping Service Businesses,604163,2020,iProperty Management
Combined Annual Revenue,$105 billion+,2020,iProperty Management
Number of Employees,912600,2021,IBIS World
Market Growth Rate,2.5% per year,2016-2021,iProperty Management
Commercial Landscaping Revenue Share,50%,2020,Estimated
Residential Services Revenue Share,30%,2020,Estimated
Other Categories Revenue Share,20%,2020,Estimated
Top 50 Companies Revenue Share,Approximately 15%,2020,iProperty Management
Top 100 Contractors Total Revenue (US and Canada),$11 billion,2019,Industry data
Growth Rate (Top 100),8.3%,2018-2019,Year-over-year growth
