Region,Wialon Units Percentage,GPS-Trace Units Percentage,Year,Key Markets
Central Asia,39.7,1.5,Dec 2023,
Europe (including Ukraine Belarus),16.7,17.5,Dec 2023,
North America (including Mexico),14.2,10.0,Dec 2023,
South America,5.1,39.2,Dec 2023,Largest market for GPS-Trace
APAC,5.8,21.0,Dec 2023,
Middle East,5.6,4.9,Dec 2023,
Africa,5.4,2.8,Dec 2023,
Americas Total Wialon Units,735000,,Dec 2023,North and South America combined
Americas Total GPS-Trace Units,113000,,Dec 2023,North and South America combined
Mexico Wialon Units Percentage,8.8,,Dec 2023,Of global Wialon units
Mexico GPS-Trace Units Percentage,7.3,,Dec 2023,Of global GPS-Trace units
