Category,Metric,Value,Time_Period,Source,Notes
Iridium NEXT,Satellites Deployed,75,January 2017 - January 2019,Report,Total deployed in low Earth orbit
Iridium NEXT,Operational Satellites,66,,Report,Operating at 780 km altitude
Iridium NEXT,Orbital Planes,6,,Report,11 satellites per plane
Iridium NEXT,In-Orbit Replacement Satellites,9,,Report,
Iridium NEXT,Ground Spares,6,,Report,
Iridium NEXT,Operational Date,February 2019,,Report,Constellation became fully operational
Iridium,Total Billable Subscribers,"1,518,000",April 2021,Report,
Iridium,Total Billable Subscribers,"1,332,000",April 2020,Report,Year-ago comparison
Iridium,Total Billable Subscribers,"1,476,000",December 31 2020,Report,
Iridium,Service Revenue,$463.1M,2020,Report,
Iridium,Industry Partners,450+,,Report,Ecosystem partners
Iridium NEXT,Developer,Thales Alenia Space,,Report,Joint company: Thales (67%) and Leonardo (33%)
Iridium,Satellite Altitude,780 kilometers,,Report,Low Earth Orbit (LEO)
Iridium,Launch Period,January 2017 - January 2019,,Report,Eight successful launches
Iridium,Total Launches,8,January 2017 - January 2019,Report,
