Acquiring_Entity,Entity_Type,Target_Company,Acquisition_Date,Target_Units_at_Acquisition,Strategic_Rationale,Geographic_Expansion,Source_Page
Inverness Graham,Private Equity,GPS Trackit,May 2017,NA,High growth technology and services portfolio,NA,126
GPS Trackit (Inverness Graham),Telematics Provider,TSO Mobile,2018,25000,"Fleet management in Latin America, Caribbean expansion",Latin America and Caribbean (40%),126
GPS Trackit (Inverness Graham),Telematics Provider,InTouchGPS,March 2018,45000+,Local service and delivery fleets expansion,US,126
GPS Trackit (Inverness Graham),Telematics Provider,FleetTrax,2018,NA,Texas-based reseller integration,Texas,126
Bertram Capital,Private Equity,"ProconGPS, Enfotrace",February 2011,NA,Sub-prime auto finance GPS tracking consolidation,North America,128
Greenbriar Equity Group,Private Equity,Spireon,October 2018,NA,$1.4B+ committed capital deployment,North America,128
Spireon,Telematics Provider,LoJack US SVR Business,March 2021,NA,Leading aftermarket telematics for automotive dealers,US,130
CalAmp,Publicly-held Telematics,Wireless Matrix Corporation,2013,50000,"Fleet management SaaS entry, telecom/utilities/oil & gas",US,134
CalAmp,Publicly-held Telematics,Radio Satellite Integrators (RSI),December 2013,NA,Government fleet MRM solutions,US,134
CalAmp,Publicly-held Telematics,Crashboxx,April 2015,NA,Vehicle risk management system,US,134
CalAmp,Publicly-held Telematics,LoJack Corporation,March 2016,NA,"$134M all-cash, stolen vehicle recovery, international licensees",30+ countries (NA/SA/EU/Africa),134
CalAmp,Publicly-held Telematics,TRACKER,2019,NA,UK connected vehicle and asset tracking,United Kingdom,134
CalAmp,Publicly-held Telematics,Car Track (LoJack Mexicana),2019,NA,Asset tracking solutions expansion,Mexico,134
CalAmp,Publicly-held Telematics,Synovia Solutions,April 2019,NA,"~$50M cash, $28M+ SaaS revenue, school bus and government fleets",US,134
Francisco Partners,Private Equity,Discrete Wireless,January 2010,NA,Large private equity firm entry,US,131
FleetCor Technologies,Fuel Cards Provider,NexTraq,October 2013,NA,Fleet management services expansion,US,131
Groupe Michelin,Tire/Automotive,NexTraq,July 2017,NA,Telematics and fleet management strategic priority,US,131
Groupe Michelin,Tire/Automotive,Sascar,2015,NA,Major Brazilian telematics provider,Brazil,131
Groupe Michelin,Tire/Automotive,Masternaut,2019,NA,One of Europe's largest commercial telematics,Europe,131
Accel-KKR,Private Equity,Insight Mobile Data (IMD),Late 2019,25000 estimated,Mid-market software and technology focus,US (East Coast concentration),149
Accel-KKR,Private Equity,Rhino Fleet Tracking,2019-2021,25000-30000 estimated,Consolidation with IMD,US,148
Accel-KKR,Private Equity,GPS Insight,May 2021,175000-225000,Combined entity serves 11000+ accounts and 225000+ vehicles,US,148
