Company,Units_Nov_2018,Units_Jul_2021,Growth_Units,Growth_Percentage,Time_Period_Months,CAGR_Estimate,Geographic_Scope,Market_Position,Source_Page
Geotab,1400000 (Global),2500000 (Global),1100000,78.6%,32,23.8%,Global,Largest overall,140
Geotab,1000000 (US),1900000 (US),900000,90.0%,32,27.0%,US,Largest in US,140
Verizon Connect,1600000 (US),1750000 (US),150000,9.4%,32,3.5%,US,Second largest in US,140
Verizon Connect,NA,2200000 (Global),NA,NA,NA,NA,Global,Major global player,140
Samsara,200000 (US),700000 (US),500000,250.0%,32,52.0%,US,Fastest growing (100K+ category),140
Fleet Complete,500000 (Global),600000 (Global),100000,20.0%,32,7.2%,Global,Major global player,140
Fleet Complete,220000 (US),330000 (US),110000,50.0%,32,16.6%,US,Growing US presence,140
Azuga,100000,260000,160000,160.0%,32,40.7%,US,High growth,140
Teletrac Navman,550000 (Global),550000 (Global),0,0.0%,32,0.0%,Global,Stable,140
Teletrac Navman,250000 (US),250000 (US),0,0.0%,32,0.0%,US,Stable,140
ORBCOMM,185000 (US),207000 (US),22000,11.9%,32,4.4%,US,Moderate growth,140
Linxup,150000,195000,45000,30.0%,32,10.7%,US,Growing,141
GPS Insight,137000,175000 (225000 with acquisitions),38000 (88000),27.7% (64.2%),32,9.8% (20.2%),US,Growth via acquisition,141
GPS Trackit,125000,150000,25000,20.0%,32,7.2%,US and Latin America,Growing,141
Spireon FleetLocate,100000+,120000,20000,20.0%,32,7.2%,US,Moderate growth,141
NexTraq,120000,120000,0,0.0%,32,0.0%,US,Stable,141
CalAmp,70000-80000,100000,20000-30000,25.0%-37.5%,32,8.9%-13.0%,US,Growing,141
Pedigree Technologies,70000,100000+ (40000 ELDs),30000+,42.9%+,32,14.5%+,US and International,Growing,142
IntelliShift (formerly VTS),80000,100000,20000,25.0%,32,8.9%,US,Growing,142
Forward Thinking Systems,15000 (early 2015),70000+ (2021),55000+,366.7%+,~72,26.0%+,US and International,Very high growth,145
Rhino Fleet Tracking,NA (2018),25000-30000 (2021),NA,30-50% per year (2018-2020),NA,36-46% annual,US and International,Very high growth,148
Insight Mobile Data,NA,25000 (pre-acquisition),NA,NA,NA,NA,US (East Coast),Regional player,150
Fleetilla,NA,40000+ (70% US),NA,NA,NA,NA,US (70%) and International (30%),Niche player,147
