Company,Partner,Partnership_Type,Year,Description
Zubie,Xirgo Technologies,Hardware,2018,Hardware customization expertise for transportation industry
Zubie,AutoNation,Deployment,2015,Automotive dealer deployment
Zubie,TSD,Integration,2019,Rental software provider integration
Zubie,Bluebird,Integration,2019,Rental software provider integration
Zubie,Thermeon,Integration,2019,Rental software provider integration
Zubie,Karz,Integration,2019,Rental software provider integration
Zubie,HQ Rental Software,Integration,2019,Rental software provider integration
Zubie,Navotar,Integration,2019,Rental software provider integration
Zubie,Nationwide,Reseller,Early 2020,Offer Zubie solution to commercial customers at no cost
Zubie,Alliance Leasing,Reseller,N/A,Denver-based fleet management company
