OEM,Partner,Partnership_Type,Product_Integration,Launch_Status
Ford,Geotab,Data Services Partner,Ford Data Services API access,Active
Ford,Verizon Connect,Data Services Partner,Ford Data Services API access,Active
Ford,Fleet Complete,Data Services Partner,Ford Data Services API access,Active
Ford,Samsara,Data Services Partner,Ford Data Services API access,Active
Ford,Spireon,Data Services Partner,Ford Data Services API access,Active
Ford,ARI,Data Services Partner,Ford Data Services API access,Active
Ford,Linxup,Data Services Partner,Ford Data Services API access,Active
Ford,Intellishift,Data Services Partner,Ford Data Services API access,Active
Ford,Donlen,Data Services Partner,Ford Data Services API access,Active
Ford,WEX,Fuel Card Partnership,Ford Fleet Marketplace fuel card offering,Active
Ford,Telogis,Previous Platform Provider,Crew Chief (discontinued) and Ford Telematics powered by Telogis (2015),Transitioned to Ford-branded solution (2018)
