Company,Metric,2022 Value,2023 Value,2024 Value,Growth Rate,Period
Fleet Complete,Total Subscribers,N/A,587000,606000,3.2%,2023 to Aug 2024
Fleet Complete,Revenue CAD,131000000,139000000,145000000 annualized,6.1%,FY2022 to FY2023
Geotab,Total Subscriptions,3276000,4098000,4500000,25.1%,2022 to 2023
Geotab,Revenue USD,491000000,560000000,N/A,14.1%,2022 to 2023
Geotab,Public Sector NA,N/A,N/A,1000000,N/A,Milestone Feb 2024
Geotab,Milestone Timeline,1M (Feb 2018),2M (Jan 2020),3M (Aug 2022),N/A,Growth trajectory
Geotab,Milestone Timeline,3M (Aug 2022),4M (Nov 2023),4.5M+ (2024),N/A,Recent growth
Gurtam,Wialon Units,3479000,3810000,4050000,9.5%,2022 to 2023
Gurtam,Wialon Units,3810000,N/A,4050000,6.3%,2023 to Nov 2024
Gurtam,Milestone Timeline,1M (2016),2M (2019),3M (Q3-2021),N/A,Growth trajectory
Gurtam,Milestone Timeline,3M (Q3-2021),4M (Jul 2024),4M+ (Nov 2024),N/A,Recent growth
KORE,Managed Devices Total,N/A,18500000,N/A,N/A,Dec 2023
KORE,Position Logic Assets,N/A,N/A,160000,N/A,Oct 2024
MICHELIN,Connected Vehicles,N/A,N/A,687000,N/A,2024
MICHELIN,Total Customers,N/A,N/A,51000,N/A,2024
MiX Powerfleet,Revenue USD,N/A,145000000,N/A,N/A,FY2023 Mar
MiX Powerfleet,Subscription Revenue %,N/A,87,N/A,N/A,FY2023 Mar
