Category,Metric,Value,Details,Year,Source
Company Info,Company Name,MiX Telematics Americas,,2021,Page 259
Company Info,Founded,1996,In South Africa,1996,Page 259
Company Info,Global Headquarters,Capetown South Africa,,2021,Page 259
Company Info,Address,750 Park of Commerce Blvd Suite 100,"Boca Raton, FL 33487",2021,Page 259
Company Info,Phone,(877) 585-1088,,2021,Page 259
Company Info,Website,www.mixtelematics.com,,2021,Page 259
Company Info,Contact,Charles Tasker,COO,2021,Page 259
Company Info,Contact,Jonathan Bates,Executive Vice President - Marketing,2021,Page 259
Company Info,Stock Exchange,Johannesburg Stock Exchange and New York Stock Exchange,Publicly traded,2021,Page 259
Company Info,Global Offices,"Uganda, UK, US, Mexico, UAE, Australia, Romania, Thailand, Brazil",,2021,Page 259
Financial Data,Total Workforce,Over 1000 employees,,2021,Page 259
Financial Data,U.S. Employees,Over 75 employees,"Offices in Florida and Texas",2021,Page 259
Financial Data,Fiscal Year End Revenue (March 2021),US $126,894,000,,FY2021,Page 261
Financial Data,Subscription Revenue Percentage,90 percent of total revenue,,FY2021,Page 261
Financial Data,Americas Revenue (March 2021),US $18,981,000,,FY2021,Page 261
Market Position,Global Customers,Over 4800 fleet customers globally,,2021,Page 261
Market Position,Total Units in Service,Over 750,000 units globally,"Includes trucks, buses, vans, cars, motorcycles, trailers",2021,Page 261
Market Position,Distribution,Sold in 120 countries,"Through network of over 130 partners worldwide plus direct sales",2021,Page 259
Acquisition History,OmniBridge acquired Tripmaster Corporation,U.S.-based company,,2006-07,Page 259
Acquisition History,Acquired VDO division of Siemens,Focused on mobile hardware with significant presence in UK and Europe,,2006-07,Page 259
Acquisition History,Acquired Siemens VDO UK fleet management business,Bought distribution rights for Fleet Manager range,,2007,Page 259
Acquisition History,MiX brand introduced globally,,,2008,Page 259
Acquisition History,Acquired SafeDrive International,Specializing in driving safety and security in oil and gas industry,,2008,Page 259
Acquisition History,Acquired Tripmaster,Leading provider of on-board computers and hours-of-service solutions in U.S.,,2008,Page 259
Acquisition History,Acquired Compass FM,Company's largest value-added reseller in Southern Africa,,Nov 2014,Page 259
Hardware,MiX Rovi,7-inch touchscreen in-vehicle display,Designed for commercial vehicles built for harsh environmental conditions,2021,Page 259
