Category,Metric,Value,Details,Year,Source
Company Info,Company Name,LB Technology,,2021,Page 267
Company Info,Founded,2014,,2014,Page 267
Company Info,Address,7005 Appling Farms Parkway Suite 101,"Memphis, TN 38133",2021,Page 267
Company Info,Phone,(901) 480-8840,,2021,Page 267
Company Info,Website,www.lbtechnologyinc.com,,2021,Page 267
Company Info,Contact,Ellen Fortas,CFO,2021,Page 267
Company Info,Founder Background,Former financial services executive,,2021,Page 267
Financial Data,Employees,25 employees,,2021,Page 267
Market Position,Primary Focus,Providing GPS fleet management solutions to government agencies in U.S.,,2021,Page 267
Market Position,Total Units in Service,Approximately 25,000 units,"About 20% are ELDs",2021,Page 267
Software,FleetTrack,Proprietary cloud-based platform,"Tracking, driver monitoring, electronic logging solutions",2021,Page 267
Software,FleetTrack Features,"Business intelligence, monitoring, alerting, and reporting via specific dashboards",,2021,Page 267
Hardware,Device Types,"Black boxes, OBD-II dongles, connected cameras",,2021,Page 267
Hardware,Hardware Suppliers,"CalAmp, Xirgo, Geometris, Queclink",,2021,Page 267
Hardware,Network Support,Can operate on any U.S. cellular network,,2021,Page 267
Distribution,Sales Model,Inside sales and government team,Focuses on responding to public requests for proposals,2021,Page 267
Distribution,Resellers,Several resellers offer LB's ELD solution,,2021,Page 267
Pricing,Basic GPS Tracking,About $16 per month,,2021,Page 267
Pricing,Pricing Model,Flexible pricing depending on project,"Hardware and service bundled in single monthly fee",2021,Page 267
Contracts,Tennessee,Secured contract from state of Tennessee,For GPS fleet monitoring solutions,2016,Page 267
Contracts,GSA Schedule,Listed on GSA schedule,To facilitate supplying federal agencies,2019,Page 267
Contracts,Arizona,Won contract to supply state of Arizona,,2020,Page 267
Contracts,Clark County Nevada,Won contract to supply Clark County,,2020,Page 267
Competition,Competitive Position,Competes against several of largest telematics service providers in U.S. market,For government contracts,2021,Page 267
Differentiation,Key Differentiator,Highly customizable solution,,2021,Page 267
COVID Impact,Pandemic Impact,Little impact on company,"Several small fleets using ELD solution have gone out of business",2021,Page 267
Launch Timeline,FleetTrack Launch,Began offering GPS solutions,2014,2014,Page 267
