Attribute,Value
Company Name,LHP Telematics
Address,17406 Tiller Court Suite 100
City State Zip,Westfield IN 46074
Phone,(317) 804-2159
Website,www.lhptelematics.com
Founded,2006
Original Name,Wildcat Systems
Employees,25
Original Communication,ORBCOMM satellite services
Expanded Communication,Cellular
Platform Launch,2008 for construction and agriculture OEMs
Platform Design,Scales across OEM distribution network; Customization at each level; Personalization downstream without compromising data collection
Specialization,Collection of engine and transmission data|CAN data|Fault codes
Cloud Platform,Microsoft Azure
API Capabilities,Registration|Warranty effective dates|Ownership changes|Business system integration|AEMP & ISO 15143 compliance|Automated processes
Flagship Hardware,TP1 (Linux device)
TP1 Launch,Late 2020
TP1 Features,Multiple CAN channels|Bluetooth LE|Wi-Fi|Ethernet
TP1 Price,Less than $200
Hardware Price Range,$100 to over $500
John Deere Partnership,MTG device for JD Link under private-label agreement
2020 Partnerships,Cummins Certified Telematics (advanced analytics/predictive modeling)|Vermeer and 80 dealers
Hardware Manufacturing,Contract-manufactured overseas
Hardware Supplier,CalAmp (also a supplier)
Primary Markets,Heavy equipment OEMs|Equipment dealers
Other Markets,Agricultural equipment OEMs|Construction fleets|Transit and motorcoach fleets
OEM Customers,20
Dealer Customers,210
Volume Channel,Most volume through dealer channel
Units in Service,45000-50000
Geographic Focus,Most units in U.S.
