Company,Product,Target Markets,Units in Service Nov 2018,Units in Service Jul 2021,Hardware Pricing USD,Service Pricing USD per Month,Notes
SkyBitz,Insight Platform,Dry vans tankers reefers intermodal O&G,397000 US (492000 global),420000 US,Satellite $400 / Cellular $300,7-9,Telular AMETEK brand
ORBCOMM,Asset Monitoring,Reefers dry vans rail cars containers,305000 US trailers/containers,560000 US total solutions,Reefer est $500-600,Reefer est $15-22,Largest US reefer supplier
Spireon,FleetLocate,Dry vans flatbeds chassis tankers,200000,350000,Capex $200-599 / SaaS bundled,Capex avg $8.49 / SaaS avg $13.99,Largest aftermarket connected vehicle NA
Omnitracs,TT150 and TTID,Dry vans reefers tethered,115600,70000+,TT150 <$300 / TTID $0,TT150 $7.95+ / TTID $4.00,One of largest in-cab fleet mgmt
CalAmp,Asset Outlook,Mostly dry vans,100000,120000,Est $300-400,Est $7-10,
Coretex,360 Cloud Platform,Reefers transport construction waste,23000 reefer,33774,Reefer est $500-600,Reefer est $15-22,Acquired by EROAD Aug 2021
BlackBerry Radar,H2 and R2,Trailers containers railcars assets,5000-10000,45000,H2 $245,10,Significant growth 2018-2021
Thermo King,TracKing,Trailers and containers,10000-20000,40000,Not reported,Not reported,OEM refrigeration units
Carrier Transicold,eSolution,Trailers and containers,Not reported,10000+,Not reported,10-30 depending on tier,OEM refrigeration units
Great Dane,FleetPulse,Trailers,N/A,Several hundred,Standard equipment,Standard equipment,First OEM standard telematics Aug 2021
