Acquiring Company,Target Company,Amount USD Millions,Year,Month,Strategic Rationale,Assets Acquired
Telular,SkyBitz,42,2011,Not specified,Communications logistics tank monitoring,Trailer monitoring base
Avista Capital Partners,Telular Corporation,253,2013,Not specified,Private equity acquisition,Including SkyBitz
AMETEK,Telular,525,2018,November,Electronic instruments electro-mechanical,Telular $165M annual sales
ORBCOMM,StarTrak Systems,18.5,2011,Not specified,Refrigerated transport railroad specialty freight,35000 units in service
ORBCOMM,PAR Logistics,6 + up to 3.95 earnout,2012,Not specified,Refrigerated trailer and container monitoring,20000 units in service
ORBCOMM,GlobalTrak division SPC,2.9,2013,Not specified,Asset mgmt intermodal cargo tracking DoD pharma,Middle East Asia Europe Caribbean
ORBCOMM,Euroscan Holdings BV,29,2014,Not specified,Refrigerated transport temp compliance Netherlands,Food and pharma cold chain
ORBCOMM,SkyWave Mobile Comm,130,2015,Not specified,M2M Inmarsat L-band satellite,250000+ subscribers 400 partners
ORBCOMM,InSync Software,Not specified,2015,Not specified,Supply chain RFID GPS,Aerospace gov hi-tech healthcare
ORBCOMM,WAM Technologies,8.7,2015,Not specified,Cold chain monitoring,Trailers rail cars gensets containers
GI Partners,ORBCOMM,1100,2021,April,Data infrastructure investor,Including net debt all-cash
CalAmp,LoJack,Not specified,2016,Not specified,Connected vehicle security,LoJack SCI Supply Chain
Coretex,Air-Trak,Not specified,2015,November,GPS fleet management,Waste and recycling focus
EROAD,Coretex,Not specified,2021,August,Heavy and light vehicle tracking,NZD 53M revenue FY2020
