Partner,Type,Integration/Service,Year
SAP,Enterprise software,Integration partner,N/A
ESRI,GIS software,Integration partner,N/A
Microsoft,Enterprise software,Integration partner,N/A
Oracle,Enterprise software,Integration partner,N/A
CityWorks,Utility software,Integration partner,N/A
Schneider Electric,Utility technology,Integration partner,N/A
Sensus,Smart meter provider,Integration partner,N/A
MultiSpeak,Utility standards,Integration partner,N/A
Geotab,Fleet telematics,Authorized reseller; connector between Geotab and Clevest MWFM,N/A
Message Broadcast,Conversation decision logic,Customer interaction enhancement; scheduling; notifications; work request integration,June 2020
