Partner 1,Partner 2,Announcement Date,Partnership Type,Strategic Objective,Key Deliverables
SkyBitz,Coretex (EROAD),Oct 2020,Technology partnership,Complete powered/non-powered tracking,Reefer solution plus trailer tracking for food pharma retail
PowerFleet,Hyundai Translead,Sep 2021,OEM integration,Smart trailer launch,HT LinkSense with LV-300 gateway for dry van reefer flatbed chassis
BlackBerry Radar,ZTR,Apr 2020,Technology integration,Rail technology,ZTR incorporated Radar technology
BlackBerry Radar,Trimble,Feb 2020,Partnership,Expanded capabilities,Integration with Trimble systems
BlackBerry Radar,Geotab,Aug 2019,Marketplace partnership,Distribution,Available through Geotab Marketplace
BlackBerry Radar,Pana-Pacific,2017,Distribution agreement,Dealer network,2800 heavy-duty truck dealerships NA
BlackBerry Radar,AttriX,May 2020,Distribution,US market,Telematics service provider
BlackBerry Radar,Big Wheel Strategies,May 2020,Distribution,US market,Telematics service provider
BlackBerry Radar,Gray Box Solutions,May 2020,Distribution,US market,Telematics service provider
BlackBerry Radar,Targipsum,May 2020,Distribution,US market,Telematics service provider
BlackBerry Radar,The Owl Strategies,May 2020,Distribution,US market,Telematics service provider
BlackBerry Radar,Inroute Mexico,May 2020,Distribution,Mexican market,Telematics vendor
BlackBerry Radar,Sitrack,May 2020,Distribution,Mexican market,Telematics vendor
BlackBerry Radar,KORE,May 2020,Wireless connectivity,Latin America,Wireless partner
Omnitracs,SkyBitz,Late 2019,Product offering,Trailer monitoring expansion,SkyBitz products through Omnitracs
Great Dane,Hendrickson,Ongoing,Sensor development,Smart trailer ecosystem,Future sensor technology
Great Dane,TSE Brakes,Ongoing,Sensor development,Smart trailer ecosystem,Future sensor technology
Coretex,SkyBitz,Oct 2020,Technology partnership,Complete solution,Sensor-based reefer with trailer tracking
CalAmp,PSI,Ongoing,Integration,Trailer monitoring,Tire pressure hub temp brakes weight
Caterpillar,Trimble,Historical,VisionLink partnership,Heavy equipment monitoring,Discontinued except existing customers
Hitachi,John Deere,2002,Sales and marketing,Joint operations,Common parts distribution IT training
Hitachi,Iridium,2017,Connectivity,Global satellite,Long-term contract for equipment worldwide
John Deere,LHP Telematics,2017,Technology,Custom solutions,JDLink evolution
John Deere,Qualcomm,2006,Technology provider,JDLink initial,GlobalTRACS platform (later acquired)
