Region,Country,Market_Segment,Customer_Name,Fleet_Size,Units,Service_Type,Growth_Details
Latin America,Brazil,Bus & Coach,Total Market,30000,Buses,Fleet Management,Major growth in bus & coach vertical
Latin America,Brazil,Bus & Coach,Rio ITA,1400,Buses,Fleet Management,Rio de Janeiro region
Latin America,Brazil,Bus & Coach,HP Group,950,Buses,Fleet Management,Goiânia and Brasilia
Latin America,Brazil,Rental & Leasing,SOMOV,14000,Forklifts and Industrial Machines,Fleet Management,Combined with BRASIF
Latin America,Brazil,Rental & Leasing,BRASIF,14000,Forklifts and Industrial Machines,Fleet Management,Combined with SOMOV
Latin America,Brazil,Oil & Gas,Halliburton,N/A,N/A,Fleet Management,Top account customer
Latin America,Brazil,Industrial,Messer Brazil,N/A,N/A,Fleet Management,Top account customer
Latin America,Brazil,Rental,Unidas,N/A,N/A,Fleet Management,Top account customer
Latin America,Brazil,Transportation,ITA Group,N/A,N/A,Fleet Management,Top account customer
Latin America,Brazil,Energy,Linde,N/A,N/A,Fleet Management,Top account customer
Latin America,Brazil,Energy,Total Energies,N/A,N/A,Fleet Management,Top account customer
Latin America,Brazil,Transportation,Della Volpe,N/A,N/A,Fleet Management,Top account customer
Latin America,Brazil & South America,New Subscribers,2023 Growth,10000,Subscribers,Fleet Management,Accelerated customer wins in last fiscal year
